,0
0,0.6444707401032702
1,0.8459552495697074
2,0.8605851979345955
3,0.8574655765920826
4,0.8620912220309811
5,0.8642426850258176
6,0.8646729776247848
7,0.8590791738382099
8,0.8582185886402753
9,0.8590791738382099
10,0.8599397590361445
11,0.8591867469879517
12,0.8584337349397589
13,0.8591867469879517
14,0.8594018932874354
15,0.8635972461273665
16,0.8667168674698795
17,0.8819922547332186
18,0.8889845094664373
19,0.9022160068846816
20,0.8945783132530121
21,0.8954388984509466
22,0.9188898450946644
23,0.9292168674698796
24,0.9290017211703959
25,0.9290017211703959
26,0.9285714285714286
27,0.9285714285714286
28,0.9285714285714286
29,0.9285714285714286
30,0.9285714285714286
31,0.9285714285714286
32,0.9285714285714286
33,0.9285714285714286
34,0.9285714285714286
35,0.9290017211703959
36,0.9287865748709122
37,0.9329819277108433
38,0.9311531841652324
39,0.931368330464716
40,0.9447074010327022
41,0.942448364888124
42,0.933842512908778
43,0.9317986230636833
44,0.944169535283993
45,0.9447074010327022
46,0.9335197934595525
47,0.9343803786574871
48,0.9322289156626506
49,0.9304001721170396
50,0.9294320137693631
51,0.929539586919105
52,0.9290017211703959
53,0.929539586919105
54,0.9307228915662651
55,0.9351333907056799
56,0.9304001721170396
57,0.9290017211703959
58,0.9288941480206541
59,0.9296471600688468
60,0.9328743545611016
61,0.9293244406196214
62,0.9290017211703959
63,0.9291092943201378
64,0.9291092943201377
65,0.9291092943201377
66,0.9293244406196214
67,0.9296471600688468
68,0.9323364888123925
69,0.9325516351118761
70,0.9339500860585198
71,0.9487951807228916
72,0.9529905335628227
73,0.9509466437177281
74,0.9482573149741824
75,0.9432013769363168
76,0.9325516351118761
77,0.932659208261618
78,0.9430938037865749
79,0.9358864027538727
80,0.9335197934595525
81,0.933842512908778
82,0.9354561101549054
83,0.9415877796901894
84,0.9484724612736661
85,0.9395438898450947
86,0.9458907056798623
87,0.9482573149741825
88,0.9435240963855422
89,0.9362091222030982
90,0.9352409638554217
91,0.9312607573149742
92,0.9331970740103271
93,0.9508390705679863
94,0.9738597246127366
95,0.976656626506024
96,0.9672977624784854
97,0.9686962134251291
98,0.9710628227194492
99,0.9653614457831325
100,0.9663296041308089
101,0.9769793459552496
102,0.9766566265060241
103,0.9668674698795181
104,0.9702022375215147
105,0.9952667814113597
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
