,0
0,0.7962975
1,-1.8165362
2,-0.09825112
3,-1.266082
4,-1.6420534
5,1.4791452
6,-0.9542192
7,4.4130087
8,0.1735466
9,-2.5945795
10,-1.333587
11,-2.010281
12,-1.4960035
13,-1.4160836
14,0.5529832
15,-1.5966071
16,-0.9781111
17,-1.1236614
18,-1.0755541
19,0.04219056
20,-1.5975987
21,0.24291015
22,-2.7225006
23,4.283149
24,2.5211532
25,-1.2588282
26,-1.2446748
27,-2.1923132
28,-2.6344414
29,-2.6964424
30,2.171865
31,-0.46024767
32,-1.2047409
33,-0.18735906
34,-2.958842
35,-0.44463268
36,-2.3807192
37,-0.3479201
38,-1.672417
39,-2.6586728
40,0.27999
41,-2.7781348
42,-2.923515
43,-0.37012208
44,0.7648993
45,-0.50624233
46,-0.43606472
