,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,2.0
109,2.0
110,2.0
111,2.0
112,2.0
113,2.0
114,2.0
115,2.0
116,2.0
117,2.0
118,2.0
119,2.0
120,2.0
121,2.0
122,2.0
123,2.0
124,2.0
125,2.0
126,2.0
127,2.0
128,2.0
129,2.0
130,2.0
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,2.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,2.0
151,2.0
152,2.0
153,2.0
154,2.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,5.0
199,5.0
200,5.0
201,5.0
202,5.0
203,5.0
204,5.0
205,5.0
206,5.0
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,5.0
215,5.0
216,5.0
217,5.0
218,5.0
219,5.0
220,5.0
221,5.0
222,5.0
223,5.0
224,5.0
225,5.0
226,5.0
227,5.0
228,5.0
229,5.0
230,5.0
231,5.0
232,5.0
233,5.0
234,5.0
235,6.0
236,6.0
237,6.0
238,6.0
239,6.0
240,6.0
241,6.0
242,6.0
243,6.0
244,6.0
245,6.0
246,6.0
247,6.0
248,6.0
249,6.0
250,6.0
251,6.0
252,6.0
253,6.0
254,6.0
255,6.0
256,6.0
257,6.0
258,6.0
259,6.0
260,6.0
261,6.0
262,6.0
263,6.0
264,6.0
265,6.0
266,6.0
267,6.0
268,6.0
269,6.0
270,7.0
271,7.0
272,7.0
273,7.0
274,7.0
275,7.0
276,7.0
277,7.0
278,7.0
279,7.0
280,7.0
281,7.0
282,7.0
283,7.0
284,7.0
285,7.0
286,7.0
287,7.0
288,7.0
289,7.0
290,7.0
291,7.0
292,7.0
293,7.0
294,7.0
295,7.0
296,7.0
297,7.0
298,7.0
299,7.0
300,7.0
301,7.0
302,7.0
303,8.0
304,8.0
305,8.0
306,8.0
307,8.0
308,8.0
309,8.0
310,8.0
311,8.0
312,8.0
313,8.0
314,8.0
315,8.0
316,8.0
317,8.0
318,8.0
319,8.0
320,8.0
321,8.0
322,8.0
323,8.0
324,8.0
325,8.0
326,8.0
327,8.0
328,8.0
329,8.0
330,8.0
331,8.0
332,9.0
333,9.0
334,9.0
335,9.0
336,9.0
337,9.0
338,9.0
339,9.0
340,9.0
341,9.0
342,9.0
343,9.0
344,9.0
345,9.0
346,9.0
347,9.0
348,9.0
349,9.0
350,9.0
351,9.0
352,9.0
353,9.0
354,9.0
355,9.0
356,9.0
357,9.0
358,9.0
359,9.0
360,10.0
361,10.0
362,10.0
363,10.0
364,10.0
365,10.0
366,10.0
367,10.0
368,10.0
369,10.0
370,10.0
371,10.0
372,10.0
373,10.0
374,10.0
375,10.0
376,10.0
377,10.0
378,10.0
379,10.0
380,10.0
381,10.0
382,10.0
383,10.0
384,10.0
385,10.0
386,10.0
387,10.0
388,11.0
389,11.0
390,11.0
391,11.0
392,11.0
393,11.0
394,11.0
395,11.0
396,11.0
397,11.0
398,11.0
399,11.0
400,11.0
401,11.0
402,11.0
403,11.0
404,11.0
405,11.0
406,11.0
407,11.0
408,11.0
409,11.0
410,11.0
411,11.0
412,11.0
413,11.0
414,11.0
415,11.0
416,12.0
417,12.0
418,12.0
419,12.0
420,12.0
421,12.0
422,12.0
423,12.0
424,12.0
425,12.0
426,12.0
427,12.0
428,12.0
429,12.0
430,12.0
431,12.0
432,12.0
433,12.0
434,12.0
435,12.0
436,12.0
437,12.0
438,12.0
439,12.0
440,12.0
441,12.0
442,13.0
443,13.0
444,13.0
445,13.0
446,13.0
447,13.0
448,13.0
449,13.0
450,13.0
451,13.0
452,13.0
453,13.0
454,13.0
455,13.0
456,13.0
457,13.0
458,13.0
459,13.0
460,13.0
461,13.0
462,13.0
463,13.0
464,13.0
465,13.0
466,14.0
467,14.0
468,14.0
469,14.0
470,14.0
471,14.0
472,14.0
473,14.0
474,14.0
475,14.0
476,14.0
477,14.0
478,14.0
479,14.0
480,14.0
481,14.0
482,14.0
483,14.0
484,14.0
485,14.0
486,14.0
487,14.0
488,15.0
489,15.0
490,15.0
491,15.0
492,15.0
493,15.0
494,15.0
495,15.0
496,15.0
497,15.0
498,15.0
499,15.0
500,15.0
501,15.0
502,15.0
503,15.0
504,15.0
505,15.0
506,15.0
507,16.0
508,16.0
509,16.0
510,16.0
511,16.0
512,16.0
513,16.0
514,16.0
515,16.0
516,16.0
517,16.0
518,16.0
519,16.0
520,16.0
521,16.0
522,16.0
523,16.0
524,16.0
525,16.0
526,17.0
527,17.0
528,17.0
529,17.0
530,17.0
531,17.0
532,17.0
533,17.0
534,17.0
535,17.0
536,17.0
537,17.0
538,17.0
539,17.0
540,17.0
541,17.0
542,17.0
543,17.0
544,18.0
545,18.0
546,18.0
547,18.0
548,18.0
549,18.0
550,18.0
551,18.0
552,18.0
553,18.0
554,18.0
555,18.0
556,18.0
557,18.0
558,18.0
559,18.0
560,18.0
561,19.0
562,19.0
563,19.0
564,19.0
565,19.0
566,19.0
567,19.0
568,19.0
569,19.0
570,19.0
571,19.0
