,0
0,0.014624638
1,0.018631993
2,0.008689259
3,0.01795661
4,0.011952876
5,0.009589193
6,0.0111997705
7,0.038703363
8,0.043845408
9,0.011887744
10,0.017468328
11,0.01726096
12,0.01007094
13,0.01926687
14,0.017912637
15,0.011094121
16,0.01916077
17,0.01554262
18,0.008246376
19,0.011191835
20,0.012847803
21,0.005045442
22,0.008852125
23,0.024190366
24,0.015575121
25,0.014861206
26,0.0122954985
27,0.01717388
28,0.019525833
29,0.010490479
30,0.010224401
31,0.013014941
32,0.014629918
33,0.023723397
34,0.009434669
35,0.011883378
36,0.009679954
37,0.012623424
38,0.013102716
39,0.03910749
40,0.024038102
41,0.007374311
42,0.008209215
43,0.018120434
44,0.013139922
45,0.009933155
46,0.01340492
47,0.0121824965
48,0.014729566
49,0.008517262
50,0.013007157
51,0.016989602
52,0.013156308
53,0.020716418
54,0.011292511
55,0.005102789
56,0.016162477
57,0.011872709
58,0.018721651
59,0.01504595
60,0.011880191
61,0.01024282
62,0.015306783
63,0.029900743
64,0.0127829015
65,0.015591232
