,0
0,0.017037626
1,0.03303633
2,0.05775906
3,0.023227045
4,0.02923805
5,0.021673879
6,0.02954609
7,0.021595718
8,0.09142402
9,0.027435806
10,0.028277619
11,0.020710295
12,0.017264906
13,0.019593664
14,0.02530966
15,0.022965888
16,0.029560538
17,0.019888217
18,0.020574441
19,0.025781937
20,0.018975414
21,0.0228726
22,0.019415753
23,0.026173487
24,0.04400816
25,0.029344305
26,0.017569777
27,0.04449203
28,0.030325415
29,0.04927694
30,0.028515816
31,0.025061311
32,0.023504313
33,0.018225899
34,0.020337982
