,0
0,2.3321085
1,1.0219465
2,1.8317833
3,-0.3556353
4,0.04054371
5,1.6586213
6,1.5786574
7,2.0474012
8,1.7938852
9,1.3874977
10,1.8655932
11,1.149105
12,-7.064358
13,1.0316386
14,1.3985165
15,-5.4176946
16,1.8743764
17,-0.4556883
18,-3.7152498
19,-2.7485492
20,-0.14741288
21,1.5195936
22,1.9191227
23,1.9360108
24,-1.0302378
25,0.06100704
26,-0.29015452
27,1.4454175
28,1.2858061
29,-0.9831316
30,2.366322
31,-1.0178092
32,-1.0089706
33,0.48422503
34,0.7063759
35,0.16644853
36,-0.28883684
37,-2.7471817
38,1.3701956
39,1.5191516
40,1.2307731
41,1.2759616
42,2.2280905
43,0.14370714
44,1.9866016
45,0.33025756
46,-3.2480183
47,-0.5952542
48,-0.45795417
