,0
0,7.0
1,9.0
2,4.0
3,2.0
4,2.0
5,2.0
6,0.0
7,10.0
8,5.0
9,4.0
10,1.0
11,9.0
12,12.0
13,10.0
14,8.0
15,14.0
16,10.0
17,10.0
18,12.0
19,6.0
20,4.0
21,2.0
22,4.0
23,12.0
24,1.0
25,11.0
26,3.0
27,10.0
28,3.0
29,13.0
30,0.0
31,17.0
32,13.0
33,16.0
34,7.0
35,5.0
36,10.0
37,4.0
38,10.0
39,18.0
40,16.0
41,8.0
42,1.0
43,12.0
44,1.0
45,2.0
46,12.0
47,11.0
48,4.0
49,8.0
50,8.0
51,17.0
52,1.0
53,1.0
54,5.0
55,2.0
56,5.0
57,9.0
58,4.0
59,0.0
60,15.0
61,0.0
62,9.0
63,1.0
64,2.0
65,14.0
66,2.0
67,0.0
68,0.0
69,5.0
70,0.0
71,5.0
72,2.0
73,6.0
74,0.0
75,1.0
76,1.0
77,18.0
78,4.0
79,8.0
80,14.0
81,17.0
82,5.0
83,17.0
84,0.0
85,4.0
86,0.0
87,8.0
88,9.0
89,17.0
90,7.0
91,8.0
92,7.0
93,0.0
94,15.0
95,4.0
96,3.0
97,15.0
98,4.0
99,18.0
100,6.0
101,10.0
102,14.0
103,2.0
104,4.0
105,2.0
106,7.0
107,11.0
108,13.0
109,0.0
110,10.0
111,10.0
112,19.0
113,15.0
114,11.0
115,1.0
116,8.0
117,9.0
118,5.0
119,1.0
120,3.0
121,7.0
122,13.0
123,2.0
124,9.0
125,11.0
126,11.0
127,6.0
128,15.0
129,9.0
130,19.0
131,4.0
132,9.0
133,16.0
134,11.0
135,1.0
136,3.0
137,9.0
138,9.0
139,0.0
140,3.0
141,0.0
142,16.0
143,10.0
144,3.0
145,3.0
146,10.0
147,6.0
148,1.0
149,7.0
150,0.0
151,4.0
152,0.0
153,7.0
154,2.0
155,1.0
156,3.0
157,8.0
158,9.0
159,16.0
160,9.0
161,7.0
162,1.0
163,2.0
164,5.0
165,18.0
166,0.0
167,4.0
168,8.0
169,19.0
170,8.0
171,6.0
172,2.0
173,3.0
174,0.0
175,0.0
176,11.0
177,12.0
178,7.0
179,5.0
180,18.0
181,16.0
182,13.0
183,11.0
184,18.0
185,19.0
186,10.0
187,3.0
188,7.0
189,7.0
190,14.0
191,2.0
192,13.0
193,13.0
194,5.0
195,4.0
196,12.0
197,1.0
198,7.0
199,0.0
200,12.0
201,2.0
202,3.0
203,0.0
204,12.0
205,3.0
206,6.0
207,9.0
208,15.0
209,13.0
210,15.0
211,8.0
212,2.0
213,7.0
214,3.0
215,4.0
216,9.0
217,3.0
218,5.0
219,0.0
220,18.0
221,16.0
222,15.0
223,2.0
224,14.0
225,19.0
226,11.0
227,3.0
228,13.0
229,0.0
230,0.0
231,4.0
232,1.0
233,8.0
234,6.0
235,18.0
236,19.0
237,5.0
238,2.0
239,6.0
240,5.0
241,5.0
242,8.0
243,7.0
244,9.0
245,9.0
246,6.0
247,0.0
248,2.0
249,8.0
250,15.0
251,14.0
252,4.0
253,11.0
254,13.0
255,9.0
256,7.0
257,2.0
258,3.0
259,0.0
260,12.0
261,12.0
262,2.0
263,3.0
264,1.0
265,2.0
266,13.0
267,4.0
268,17.0
269,0.0
270,10.0
271,14.0
272,1.0
273,15.0
274,2.0
275,4.0
276,3.0
277,16.0
278,1.0
279,6.0
280,9.0
281,5.0
282,3.0
283,7.0
284,6.0
285,14.0
286,5.0
287,3.0
288,2.0
289,4.0
290,6.0
291,5.0
292,6.0
293,1.0
294,11.0
295,9.0
296,17.0
297,11.0
298,7.0
299,2.0
300,4.0
301,5.0
302,8.0
303,2.0
304,3.0
305,6.0
306,5.0
307,3.0
308,4.0
309,10.0
310,0.0
311,1.0
312,16.0
313,14.0
314,7.0
315,7.0
316,6.0
317,8.0
318,5.0
319,6.0
320,6.0
321,17.0
322,4.0
323,19.0
324,11.0
325,10.0
326,16.0
327,3.0
328,9.0
329,15.0
330,15.0
331,2.0
332,7.0
333,8.0
334,7.0
335,0.0
336,8.0
337,2.0
338,18.0
339,15.0
340,5.0
341,0.0
342,1.0
343,3.0
344,0.0
345,13.0
346,6.0
347,19.0
348,5.0
349,7.0
350,17.0
351,12.0
352,7.0
353,12.0
354,10.0
355,3.0
356,6.0
357,14.0
358,13.0
359,0.0
360,15.0
361,2.0
362,2.0
363,4.0
364,0.0
365,19.0
366,6.0
367,2.0
368,10.0
369,14.0
370,4.0
371,1.0
372,15.0
373,19.0
374,1.0
375,4.0
376,2.0
377,8.0
378,4.0
379,8.0
380,3.0
381,8.0
382,19.0
383,3.0
384,17.0
385,10.0
386,9.0
387,10.0
388,5.0
389,0.0
390,19.0
391,7.0
392,0.0
393,3.0
394,3.0
395,0.0
396,8.0
397,10.0
398,18.0
399,2.0
400,13.0
401,1.0
402,1.0
403,16.0
404,8.0
405,1.0
406,3.0
407,1.0
408,3.0
409,1.0
410,18.0
411,17.0
412,11.0
413,7.0
414,6.0
415,2.0
416,13.0
417,14.0
418,1.0
419,11.0
420,9.0
421,18.0
422,16.0
423,4.0
424,17.0
425,15.0
426,11.0
427,1.0
428,0.0
429,7.0
430,13.0
431,1.0
432,1.0
433,17.0
434,2.0
435,11.0
436,9.0
437,15.0
438,14.0
439,15.0
440,1.0
441,0.0
442,19.0
443,5.0
444,4.0
445,6.0
446,14.0
447,9.0
448,8.0
449,6.0
450,4.0
451,5.0
452,3.0
453,13.0
454,1.0
455,12.0
456,10.0
457,9.0
458,0.0
459,1.0
460,12.0
461,5.0
462,12.0
463,16.0
464,11.0
465,12.0
466,1.0
467,14.0
468,0.0
469,16.0
470,5.0
471,0.0
472,1.0
473,13.0
474,3.0
475,3.0
476,12.0
477,10.0
478,16.0
479,3.0
480,0.0
481,3.0
482,17.0
483,9.0
484,6.0
485,1.0
486,13.0
487,4.0
488,7.0
489,8.0
490,14.0
491,13.0
492,7.0
493,1.0
494,6.0
495,14.0
496,8.0
497,11.0
498,11.0
499,5.0
500,10.0
501,13.0
502,4.0
503,1.0
504,14.0
505,8.0
506,15.0
507,6.0
508,14.0
509,6.0
510,10.0
511,9.0
