,0
0,13.0
1,8.0
2,4.0
3,9.0
4,2.0
5,5.0
6,2.0
7,11.0
8,2.0
9,2.0
10,12.0
11,10.0
12,1.0
13,13.0
14,3.0
15,8.0
16,14.0
17,9.0
18,10.0
19,13.0
20,4.0
21,2.0
22,6.0
23,16.0
24,9.0
25,4.0
26,13.0
27,1.0
28,7.0
29,10.0
30,13.0
31,4.0
32,7.0
33,5.0
34,1.0
35,17.0
36,12.0
37,5.0
38,1.0
39,3.0
40,11.0
41,5.0
42,5.0
43,4.0
44,6.0
45,13.0
46,7.0
47,17.0
48,11.0
49,2.0
50,2.0
51,1.0
52,4.0
53,16.0
54,1.0
55,5.0
56,4.0
57,14.0
58,15.0
59,1.0
60,6.0
61,13.0
62,17.0
63,3.0
64,4.0
65,10.0
66,2.0
67,6.0
68,10.0
69,1.0
70,15.0
71,13.0
72,2.0
73,11.0
74,13.0
75,1.0
76,17.0
77,2.0
78,4.0
79,13.0
80,8.0
81,2.0
82,3.0
83,1.0
84,12.0
85,15.0
86,1.0
87,7.0
88,14.0
89,4.0
90,1.0
91,2.0
92,8.0
93,2.0
94,8.0
95,1.0
96,16.0
97,2.0
98,3.0
99,13.0
100,7.0
101,12.0
102,6.0
103,12.0
104,13.0
105,12.0
106,11.0
107,13.0
108,13.0
109,12.0
110,3.0
111,6.0
112,3.0
113,1.0
114,16.0
115,13.0
116,3.0
117,9.0
118,2.0
119,5.0
120,11.0
121,8.0
122,7.0
123,7.0
124,14.0
125,9.0
126,4.0
127,6.0
128,5.0
129,5.0
130,5.0
131,1.0
132,14.0
133,5.0
134,1.0
135,5.0
136,5.0
137,10.0
138,9.0
139,10.0
140,2.0
141,16.0
142,2.0
143,11.0
144,14.0
145,13.0
146,5.0
147,1.0
148,5.0
149,13.0
150,11.0
151,5.0
152,7.0
153,16.0
154,6.0
155,1.0
156,2.0
157,14.0
158,14.0
159,7.0
160,5.0
161,3.0
162,2.0
163,2.0
164,10.0
165,14.0
166,4.0
167,16.0
168,4.0
169,12.0
170,6.0
171,10.0
172,4.0
173,8.0
174,15.0
175,1.0
176,2.0
177,6.0
178,2.0
179,11.0
180,1.0
181,14.0
182,10.0
183,4.0
184,1.0
185,6.0
186,13.0
187,14.0
188,9.0
189,11.0
190,15.0
191,10.0
192,1.0
193,6.0
194,5.0
195,16.0
196,4.0
197,15.0
198,10.0
199,4.0
200,17.0
201,2.0
202,6.0
203,5.0
204,11.0
205,5.0
206,4.0
207,4.0
208,9.0
209,10.0
210,3.0
211,17.0
212,13.0
213,3.0
214,9.0
215,2.0
216,1.0
217,11.0
218,9.0
219,1.0
220,7.0
221,3.0
222,13.0
223,9.0
224,1.0
225,15.0
226,7.0
227,10.0
228,9.0
229,1.0
230,4.0
231,5.0
232,9.0
233,8.0
234,13.0
235,10.0
236,5.0
237,14.0
238,17.0
239,6.0
240,13.0
241,2.0
242,9.0
243,3.0
244,5.0
245,10.0
246,16.0
247,6.0
248,11.0
249,2.0
250,3.0
251,1.0
252,9.0
253,6.0
254,16.0
255,5.0
256,8.0
257,2.0
258,2.0
259,16.0
260,8.0
261,15.0
262,3.0
263,6.0
264,12.0
265,2.0
266,14.0
267,3.0
268,4.0
269,11.0
270,8.0
271,10.0
272,8.0
273,2.0
274,12.0
275,2.0
276,4.0
277,1.0
278,9.0
279,4.0
280,5.0
281,15.0
282,6.0
283,3.0
284,3.0
285,6.0
286,8.0
287,13.0
288,1.0
289,2.0
290,15.0
291,2.0
292,2.0
293,7.0
294,10.0
295,13.0
296,8.0
297,7.0
298,10.0
299,12.0
300,7.0
301,3.0
302,2.0
303,9.0
304,16.0
305,12.0
306,1.0
307,6.0
308,13.0
309,12.0
310,16.0
311,1.0
312,6.0
313,8.0
314,7.0
315,4.0
316,11.0
317,13.0
318,6.0
319,10.0
320,8.0
321,4.0
322,3.0
323,5.0
324,8.0
325,3.0
326,2.0
327,2.0
328,10.0
