,0
0,13.0
1,18.0
2,7.0
3,18.0
4,18.0
5,18.0
6,18.0
7,6.0
8,6.0
9,18.0
10,2.0
11,18.0
12,6.0
13,18.0
14,18.0
15,18.0
16,3.0
17,10.0
18,5.0
19,18.0
20,2.0
21,7.0
22,9.0
23,15.0
24,6.0
25,18.0
26,9.0
27,18.0
28,18.0
29,7.0
30,13.0
31,6.0
32,18.0
33,18.0
34,3.0
35,18.0
36,18.0
37,2.0
38,11.0
39,10.0
40,18.0
41,7.0
42,15.0
43,18.0
44,14.0
45,18.0
46,10.0
47,6.0
48,7.0
49,18.0
50,18.0
51,3.0
52,3.0
53,5.0
54,18.0
55,18.0
56,18.0
57,18.0
58,18.0
59,18.0
60,2.0
61,18.0
62,5.0
63,5.0
64,13.0
65,4.0
66,8.0
67,3.0
68,18.0
69,11.0
70,18.0
71,5.0
72,13.0
73,10.0
74,18.0
75,5.0
76,18.0
77,18.0
78,3.0
79,18.0
80,18.0
81,18.0
82,18.0
83,18.0
84,18.0
85,12.0
86,18.0
87,2.0
88,4.0
89,14.0
90,18.0
91,18.0
92,7.0
93,18.0
94,13.0
95,18.0
96,11.0
97,18.0
98,14.0
99,13.0
100,18.0
101,18.0
102,18.0
103,18.0
104,6.0
105,18.0
106,3.0
107,18.0
108,18.0
109,6.0
110,15.0
111,13.0
112,18.0
113,13.0
114,18.0
115,9.0
116,9.0
117,4.0
118,8.0
119,18.0
120,18.0
121,4.0
122,2.0
123,11.0
124,9.0
125,18.0
126,18.0
127,18.0
128,3.0
129,18.0
130,3.0
131,18.0
132,18.0
133,9.0
134,18.0
135,7.0
136,8.0
137,2.0
138,5.0
139,17.0
140,5.0
141,18.0
142,18.0
143,5.0
144,6.0
145,18.0
146,18.0
147,18.0
148,18.0
149,4.0
150,7.0
151,14.0
152,18.0
153,18.0
154,18.0
155,17.0
156,18.0
157,13.0
158,9.0
159,18.0
160,3.0
161,18.0
162,18.0
163,5.0
164,3.0
165,6.0
166,18.0
167,2.0
168,9.0
169,18.0
170,8.0
171,2.0
172,18.0
173,18.0
174,17.0
175,18.0
176,18.0
177,12.0
178,3.0
179,10.0
180,2.0
181,2.0
182,18.0
183,18.0
184,18.0
185,2.0
186,12.0
187,10.0
188,18.0
189,2.0
190,17.0
191,2.0
192,18.0
193,18.0
194,18.0
195,2.0
196,2.0
197,6.0
198,18.0
199,2.0
200,6.0
201,4.0
202,18.0
203,4.0
204,18.0
205,18.0
206,2.0
207,16.0
208,14.0
209,3.0
210,5.0
211,7.0
212,9.0
213,18.0
214,18.0
215,18.0
216,5.0
217,18.0
218,18.0
219,18.0
220,7.0
221,18.0
222,9.0
223,7.0
224,9.0
225,18.0
226,12.0
227,18.0
228,10.0
229,6.0
230,18.0
231,18.0
232,18.0
233,18.0
234,13.0
235,18.0
236,10.0
237,4.0
238,18.0
239,13.0
240,18.0
241,18.0
242,18.0
243,3.0
244,6.0
245,7.0
246,18.0
247,6.0
248,3.0
249,15.0
250,4.0
251,5.0
252,7.0
253,13.0
254,18.0
255,5.0
256,18.0
257,18.0
258,3.0
259,3.0
260,2.0
261,7.0
262,4.0
263,18.0
264,11.0
265,18.0
266,18.0
267,18.0
268,15.0
269,13.0
270,7.0
271,18.0
272,18.0
273,4.0
274,4.0
275,5.0
276,4.0
277,6.0
278,3.0
279,10.0
280,7.0
281,18.0
282,18.0
283,18.0
284,18.0
285,3.0
286,5.0
287,2.0
288,10.0
289,11.0
290,7.0
291,18.0
292,6.0
293,18.0
294,9.0
295,2.0
296,18.0
297,9.0
298,6.0
299,12.0
300,4.0
301,8.0
302,12.0
303,10.0
304,6.0
305,7.0
306,13.0
307,7.0
308,18.0
309,18.0
310,2.0
311,5.0
312,18.0
313,18.0
314,18.0
315,14.0
316,18.0
317,18.0
318,3.0
319,18.0
320,3.0
321,18.0
322,18.0
323,8.0
324,3.0
325,6.0
326,13.0
327,11.0
328,9.0
329,18.0
330,18.0
331,7.0
332,10.0
333,18.0
334,4.0
335,2.0
336,2.0
337,17.0
338,15.0
339,4.0
340,13.0
341,18.0
342,10.0
343,13.0
344,9.0
345,18.0
346,18.0
347,15.0
348,18.0
349,18.0
350,2.0
351,5.0
352,11.0
353,18.0
354,18.0
355,10.0
356,10.0
357,18.0
358,4.0
359,4.0
360,15.0
361,10.0
362,18.0
363,18.0
364,11.0
365,7.0
366,5.0
367,17.0
368,6.0
369,15.0
370,18.0
371,18.0
372,18.0
373,18.0
374,3.0
375,6.0
376,2.0
377,18.0
378,18.0
379,3.0
380,11.0
381,5.0
382,18.0
383,2.0
384,2.0
385,10.0
386,9.0
387,3.0
388,4.0
389,2.0
390,16.0
391,2.0
392,18.0
393,11.0
394,11.0
395,18.0
396,2.0
397,8.0
398,10.0
399,18.0
400,11.0
401,15.0
402,18.0
403,18.0
404,18.0
405,16.0
406,12.0
407,2.0
408,18.0
409,14.0
410,18.0
411,10.0
412,18.0
413,17.0
414,15.0
415,14.0
416,8.0
417,7.0
418,8.0
419,18.0
420,18.0
421,18.0
422,5.0
423,6.0
424,16.0
425,7.0
426,17.0
427,5.0
428,18.0
429,18.0
430,5.0
431,3.0
432,7.0
433,16.0
434,18.0
435,2.0
436,15.0
437,4.0
438,4.0
439,2.0
440,7.0
441,8.0
442,2.0
443,12.0
444,2.0
445,10.0
446,18.0
447,18.0
448,12.0
449,3.0
450,9.0
451,18.0
452,14.0
453,18.0
454,3.0
455,5.0
456,11.0
457,3.0
458,8.0
459,18.0
460,13.0
461,14.0
462,18.0
463,3.0
464,4.0
465,18.0
466,18.0
467,11.0
468,18.0
469,13.0
470,11.0
471,2.0
472,13.0
473,18.0
474,4.0
475,18.0
476,13.0
477,3.0
478,5.0
479,18.0
480,6.0
481,12.0
482,18.0
483,18.0
484,18.0
485,4.0
