,0
0,-2.915586
1,-1.259277
2,-1.567402
3,-3.704608
4,0.844039
5,-2.412603
6,-2.412603
7,-1.567402
8,-2.035734
9,-0.615849
10,-2.41105
11,-3.247021
12,-3.440008
13,-2.915586
14,-1.380677
15,-2.283489
16,-3.845366
17,-3.733803
18,-0.860562
19,-3.436102
20,-2.670947
21,-1.306893
22,-1.674226
23,1.189876
24,0.844039
25,-1.380677
26,-2.991388
27,-3.704608
28,-4.158674
29,-2.876995
30,-2.742918
31,-4.158674
32,-1.674226
33,-1.259277
34,-1.495547
35,-1.905829
36,-2.76317
37,-3.733803
38,-3.074684
39,-3.572154
40,-1.495547
41,-0.615849
42,-2.586004
43,-2.76317
44,-3.436102
45,1.189876
46,-2.670947
47,-0.860562
