,0
0,0.014876404
1,0.014187643
2,0.047022473
3,0.014876404
4,0.011445078
5,0.038110137
6,0.0101061035
7,0.042038675
8,0.028381355
9,0.038110137
10,0.040701512
11,0.03215512
12,0.006351933
13,0.0272948
14,0.0272948
15,0.0056299865
16,0.01591431
17,0.006974865
18,0.006351933
19,0.05912178
20,0.023006521
21,0.014187643
22,0.018856535
23,0.0056299865
24,0.021033378
25,0.05912178
26,0.023006521
27,0.03215512
28,0.047022473
29,0.005717927
30,0.011158449
31,0.033878356
32,0.01591431
33,0.005717927
34,0.021033378
35,0.040701512
36,0.010405517
37,0.03112379
38,0.028381355
39,0.03112379
40,0.033878356
