,0
0,0.027620161
1,0.11818915
2,0.02049932
3,0.008494472
4,0.004416474
5,0.0013319637
6,0.0013457548
7,0.0044318447
8,0.17122255
9,0.004982038
10,0.00246022
11,0.0041202474
12,0.0075288294
13,0.0037540952
14,0.025515566
15,0.03985302
16,0.0051935273
17,0.0024402514
18,0.0017481104
19,0.021521077
20,0.060289994
21,0.0038036674
22,0.023926936
23,0.0019765983
24,0.0050402377
25,0.04801255
26,0.0027360646
27,0.0012030455
28,0.0046885456
29,0.020751515
30,0.0045426674
31,0.003608975
32,0.0033795168
33,0.0054122233
34,0.001510371
35,0.049316853
36,0.01191619
37,0.0113096135
38,0.06788959
39,0.016120981
40,0.023844553
41,0.0019291999
42,0.0028929084
43,0.0038135634
44,0.002382337
45,0.076959334
46,0.027620161
47,0.004416474
48,0.027620161
49,0.004416474
