,0
0,2.1339085
1,4.4613047
2,3.079379
3,3.3967311
4,4.2167606
5,5.537139
6,4.266269
7,4.7485037
8,3.2296739
9,4.329589
10,3.0362177
11,4.3658905
12,4.749033
13,3.7049758
14,4.8086457
15,4.8078084
16,5.372019
17,3.5851061
18,4.2694287
19,1.6318654
20,2.5024502
21,4.3783426
22,4.486898
23,4.2175293
24,4.036685
25,3.6657717
26,4.2562504
27,4.144705
28,3.406139
29,3.6003995
30,4.510773
31,5.2881656
32,4.283645
33,1.3448203
34,3.4976883
35,4.4640613
36,3.6123745
37,3.4132636
38,4.2741284
39,3.4593933
40,4.5715656
41,3.216813
42,4.9080067
43,2.1339085
44,2.1339085
45,1.6318654
46,1.6318654
47,1.3448203
48,1.3448203
