,0
0,1.0
1,6.0
2,4.0
3,2.0
4,5.0
5,7.0
6,7.0
7,3.0
8,5.0
9,1.0
10,2.0
11,1.0
12,14.0
13,13.0
14,7.0
15,0.0
16,0.0
17,9.0
18,14.0
19,12.0
20,9.0
21,12.0
22,6.0
23,0.0
24,4.0
25,1.0
26,3.0
27,10.0
28,1.0
29,1.0
30,7.0
31,3.0
32,0.0
33,3.0
34,3.0
35,9.0
36,8.0
37,12.0
38,1.0
39,7.0
40,6.0
41,4.0
42,2.0
43,0.0
44,13.0
45,2.0
46,8.0
47,9.0
48,3.0
49,1.0
50,6.0
51,3.0
52,3.0
53,14.0
54,12.0
55,5.0
56,2.0
57,9.0
58,11.0
59,8.0
60,12.0
61,0.0
62,10.0
63,7.0
64,4.0
65,3.0
66,5.0
67,11.0
68,9.0
69,8.0
70,7.0
71,7.0
72,3.0
73,8.0
74,9.0
75,3.0
76,0.0
77,5.0
78,5.0
79,11.0
80,10.0
81,14.0
82,0.0
83,0.0
84,7.0
85,4.0
86,1.0
87,3.0
88,2.0
89,2.0
90,1.0
91,4.0
92,4.0
93,13.0
94,4.0
95,7.0
96,11.0
97,4.0
98,3.0
99,3.0
100,4.0
101,5.0
102,1.0
103,5.0
104,5.0
105,6.0
106,12.0
107,9.0
108,3.0
109,11.0
110,4.0
111,4.0
112,0.0
113,1.0
114,0.0
115,5.0
116,10.0
117,3.0
118,13.0
119,0.0
120,1.0
121,4.0
122,2.0
123,6.0
124,2.0
125,2.0
126,3.0
127,0.0
128,1.0
129,6.0
130,14.0
131,6.0
132,7.0
133,11.0
134,8.0
135,9.0
136,2.0
137,3.0
138,4.0
139,6.0
140,13.0
141,4.0
142,5.0
143,2.0
144,8.0
145,6.0
146,3.0
147,1.0
148,2.0
149,13.0
150,1.0
151,10.0
152,13.0
153,3.0
154,5.0
155,13.0
156,3.0
157,0.0
158,0.0
159,9.0
160,1.0
161,1.0
162,0.0
163,13.0
164,4.0
165,10.0
166,3.0
167,7.0
168,4.0
169,13.0
170,12.0
171,3.0
172,4.0
173,5.0
174,1.0
175,11.0
176,5.0
177,5.0
178,0.0
179,7.0
180,8.0
181,13.0
182,8.0
183,0.0
184,6.0
185,12.0
186,5.0
187,1.0
188,2.0
189,8.0
190,7.0
191,13.0
192,13.0
193,6.0
194,6.0
195,0.0
196,5.0
197,8.0
198,2.0
199,3.0
200,4.0
201,8.0
202,2.0
203,0.0
204,7.0
205,11.0
206,10.0
207,14.0
208,0.0
209,4.0
210,0.0
211,3.0
212,0.0
213,1.0
214,11.0
215,9.0
216,9.0
217,1.0
218,13.0
219,6.0
220,7.0
221,14.0
222,1.0
223,8.0
224,9.0
225,12.0
226,12.0
227,2.0
228,10.0
229,14.0
230,1.0
231,12.0
232,3.0
233,6.0
234,1.0
235,12.0
236,13.0
237,2.0
238,6.0
239,5.0
240,4.0
241,2.0
242,3.0
243,1.0
244,6.0
245,12.0
246,13.0
247,3.0
248,3.0
249,5.0
250,6.0
251,13.0
252,14.0
253,1.0
254,7.0
255,12.0
256,9.0
257,9.0
258,14.0
259,3.0
260,13.0
261,8.0
262,0.0
263,11.0
264,14.0
265,9.0
266,4.0
267,1.0
268,12.0
269,13.0
270,12.0
271,6.0
272,10.0
273,13.0
274,1.0
275,11.0
276,5.0
277,9.0
278,5.0
279,3.0
280,0.0
281,9.0
282,0.0
283,4.0
284,0.0
285,8.0
286,7.0
287,2.0
288,4.0
289,11.0
290,10.0
291,12.0
292,13.0
293,3.0
294,5.0
295,8.0
296,9.0
297,2.0
298,6.0
299,5.0
300,7.0
301,6.0
302,8.0
303,7.0
304,4.0
305,0.0
306,9.0
307,2.0
308,10.0
309,9.0
310,7.0
311,2.0
312,7.0
313,1.0
314,9.0
315,10.0
316,0.0
317,13.0
318,8.0
319,14.0
320,4.0
321,6.0
322,12.0
323,4.0
324,4.0
325,7.0
326,5.0
327,1.0
328,12.0
329,1.0
330,7.0
331,10.0
332,1.0
333,7.0
334,1.0
335,3.0
336,0.0
337,7.0
338,5.0
339,14.0
340,7.0
341,2.0
342,6.0
343,5.0
344,6.0
345,12.0
346,13.0
347,12.0
348,2.0
349,3.0
350,5.0
351,7.0
352,0.0
353,5.0
354,5.0
355,10.0
356,2.0
357,2.0
358,4.0
359,1.0
360,1.0
361,11.0
362,1.0
363,10.0
364,5.0
365,8.0
366,6.0
367,13.0
368,8.0
369,4.0
370,4.0
371,13.0
372,8.0
373,0.0
374,9.0
375,10.0
376,3.0
377,13.0
378,3.0
379,3.0
380,0.0
381,0.0
382,9.0
383,0.0
384,9.0
385,7.0
386,14.0
387,10.0
388,8.0
389,7.0
390,12.0
391,9.0
392,2.0
393,2.0
394,4.0
395,2.0
396,14.0
397,4.0
398,6.0
399,7.0
400,10.0
401,0.0
402,6.0
403,1.0
404,0.0
405,7.0
406,9.0
407,10.0
408,9.0
409,0.0
410,1.0
411,9.0
412,9.0
413,10.0
414,0.0
415,11.0
416,4.0
417,1.0
418,12.0
419,0.0
420,13.0
421,2.0
422,0.0
423,7.0
424,13.0
425,8.0
426,0.0
