,0
0,0.0036786562
1,0.01283254
2,0.009625281
3,0.017953135
4,0.007797044
5,0.0049755345
6,0.0039034744
7,0.072633654
8,0.045569915
9,0.0085466355
10,0.0020247058
11,0.006612897
12,0.009196619
13,0.0026769098
14,0.0026868256
15,0.007444326
16,0.0034465443
17,0.005911555
18,0.0051679476
19,0.007124832
20,0.017251816
21,0.0050524296
22,0.017216906
23,0.009123699
24,0.013760906
25,0.008172295
26,0.12871973
27,0.0032875412
28,0.017804166
29,0.0029141195
30,0.007819545
31,0.010357978
32,0.0069218474
33,0.006580005
34,0.0056766123
35,0.028147088
36,0.0038472102
37,0.011595273
38,0.018026307
39,0.028951053
40,0.0016791404
41,0.010081519
42,0.003791909
43,0.0037485594
44,0.0017151022
45,0.0034279758
46,0.0036049387
47,0.012600723
48,0.0033809764
49,0.014681864
50,0.0034417107
51,0.032106295
52,0.012312485
53,0.2950528
54,0.0030219988
55,0.004316432
