,0
0,0.016989743
1,0.016971095
2,0.016993754
3,0.01692901
4,0.016912656
5,0.016959641
6,0.016938725
7,0.016913066
8,0.016913397
9,0.016957272
10,0.01693722
11,0.016957272
12,0.01693722
13,0.016957272
14,0.01693722
15,0.016957272
16,0.01693722
17,0.016947668
18,0.016932303
19,0.01692805
20,0.016899321
21,0.016905116
22,0.016936189
23,0.016944662
24,0.016927557
25,0.016923845
26,0.01692994
27,0.017617749
28,0.016914342
29,0.016975652
30,0.016934913
31,0.016934913
32,0.016930884
33,0.016937755
34,0.016935404
35,0.016930092
36,0.016935404
37,0.016930092
38,0.016935404
39,0.016930092
40,0.016935404
41,0.016930092
42,0.01696299
43,0.01693149
44,0.016924733
45,0.016924733
46,0.01694488
47,0.016912187
48,0.016912187
49,0.016920336
50,0.016907454
51,0.016932514
52,0.016955798
53,0.016955798
54,0.016931724
55,0.016925193
56,0.01702545
57,0.016930139
58,0.016920416
