,0
0,0.104236566
1,0.08100007
2,0.08325287
3,0.015752029
4,0.016821202
5,0.0021779034
6,0.0039620744
7,0.002715622
8,0.105237655
9,0.0043603205
10,0.0026649581
11,0.0006984337
12,0.0026649581
13,0.0006984337
14,0.0026649581
15,0.0006984337
16,0.0026649581
17,0.0006984337
18,0.0017935875
19,0.00033350894
20,0.10668536
21,0.0177724
22,0.00037375477
23,0.00064181053
24,0.00037375477
25,0.00064181053
26,0.00037375477
27,0.00064181053
28,0.00037375477
29,0.00064181053
30,0.08919128
31,0.0016522483
32,0.00034612385
33,0.0016522483
34,0.00034612385
35,0.0016522483
36,0.00034612385
37,0.0016522483
38,0.00034612385
39,0.014488805
40,0.024681369
41,0.07420856
42,0.06391154
43,0.0018901677
44,0.009169739
45,0.040497094
46,0.091593936
47,0.00043686441
48,0.0037081614
49,0.00035776143
50,0.00064347906
51,0.012545918
52,0.0010648086
