,0
0,0.00068268203
1,0.0002877306
2,0.00025748587
3,0.0003824893
4,0.00026624958
5,0.00030215798
6,0.00025664057
7,0.0002782905
8,0.00037558578
9,0.0021664184
10,0.0019159123
11,0.00036497298
12,0.0002569841
13,0.0010472185
14,0.0002569841
15,0.0010472185
16,0.0002569841
17,0.0010472185
18,0.0002569841
19,0.0010472185
20,0.0002720985
21,0.00029604736
22,0.07936822
23,0.002038869
24,0.043131277
25,0.042131256
26,0.02582415
27,0.01923839
28,0.08001007
29,0.0037132658
30,0.07710222
31,0.0013880709
32,0.00040351984
33,0.11243685
34,0.0132003175
35,0.097150795
36,0.098464645
37,0.07766585
38,0.0021590262
39,0.0016615061
40,0.0021590262
41,0.0016615061
42,0.0021590262
43,0.0016615061
44,0.0021590262
45,0.0016615061
46,0.00520768
47,0.0008773819
48,0.06433073
49,0.026038107
50,0.00076687336
51,0.100907825
